industry,co2,ch4,n2o,sox,nox,pm10,pm2.5
Cultivation of paddy rice,839871.3,4915.47232,3750.65274,3090.711,2197.626,272.7523,174.3539
Cultivation of wheat,832399.7,4931.26705,11286.42419,2984.47,2114.374,324.7862,168.8377
Cultivation of cereal grains nec,819054.9,4923.83501,5686.8463,2960.868,2087.26,273.1127,162.6879
"Cultivation of vegetables, fruit, nuts",746239.2,5316.74423,718.56507,3150.375,2002.578,221.0399,148.8662
Cultivation of oil seeds,699530.3,4104.18711,12190.69252,2590.322,1814.111,294.36069,140.95863
"Cultivation of sugar cane, sugar beet",934760.7,4911.24398,1767.2125,3778.122,2382.131,268.0594,177.0484
Cultivation of plant-based fibers,921543.9,5276.51777,5047.35014,3435.856,2353.572,297.8036,183.9688
Cultivation of crops nec,1238694.2,6730.09243,2815.3553,5114.832,3199.805,350.3026,224.6406
Cattle farming,958266.7,186067.363,1377.61712,3685.363,2651.385,525.6147,347.3541
Pigs farming,901319.5,85309.96907,634.91796,4403.282,2543.249,1585.1864,381.0204
Poultry farming,967056.5,21250.93,1541.2676,3834.781,2913.685,1888.175,423.0976
Meat animals nec,849938,11549.93431,795.39063,3062.162,2195.263,284.1425,194.4143
Animal products nec,860174.3,59543.23999,808.04198,3013.238,2175.667,706.769,460.9027
Raw milk,911673.9,256387.7981,863.61782,3944.708,2544.241,612.5831,403.709
"Wool, silk-worm cocoons",1312127,69958116.02,489.9352,6091.12,4030.142,438.3388,304.4523
"Forestry, logging and related service activities (02)",445630.3,6634.46567,654.52917,1273.539,1398.608,163.475,110.4275
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",405637.6,3196.85444,126.17098,1350.487,1032.71,117.937,78.3417
Mining of coal and lignite; extraction of peat (10),629937.1,537350.6297,43.36212,2543.666,2043.345,289.2971,111.9576
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1212891.1,2396.62862,35.21461,1959.548,1395.2371,115.48984,81.44957
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",781033.16,1742.62171,27.49505,1746.42,1295.4532,102.2652,71.89718
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",832422.5,3802.65888,50.41923,1792.366,1425.402,172.33435,132.32627
Mining of uranium and thorium ores (12),546295.5,2705.97878,34.91539,2417.758,2046.673,151.10699,110.02399
Mining of iron ores,2020443.8,20085.479,79.82178,11341.58,5984.765,448.2689,276.3144
Mining of copper ores and concentrates,1308022.1,17103.29081,47.44157,8037.399,4272.1123,300.4146,176.77078
Mining of nickel ores and concentrates,1299236.06,17349.91855,46.73265,7960.952,4208.6316,292.62886,172.95145
Mining of aluminium ores and concentrates,1777597.7,13887.43041,82.13772,9633.558,5497.568,387.5248,244.8815
Mining of precious metal ores and concentrates,1287481.3,14159.44658,58.10676,6998.138,3918.498,311.433,196.7929
"Mining of lead, zinc and tin ores and concentrates",1335730.1,16988.43645,48.68251,8224.063,4359.0622,303.53649,179.71986
Mining of other non-ferrous metal ores and concentrates,430325.41,1190.17521,30.28288,1597.29,1691.5711,127.08334,95.55693
Quarrying of stone,734034.9,11369.41778,43.14041,3496.124,2518.68,191.2199,131.6619
Quarrying of sand and clay,877236.7,26040.665,46.44766,4303.843,2852.499,219.6563,144.3308
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1126725.5,23183.1714,50.71588,6038.55,3667.743,274.9522,171.1122
Processing of meat cattle,999329,122417.8501,1000.6477,4396.758,2900.523,500.5171,317.5794
Processing of meat pigs,822501.8,57185.3465,571.13037,3534.21,2327.611,872.6063,284.6611
Processing of meat poultry,811680.5,12701.4475,698.7527,3518.64,2485.653,927.5283,305.1592
Production of meat products nec,1044299.7,28530.6501,298.0109,5468.84,3166.459,446.1418,279.3045
Processing vegetable oils and fats,1359838,7445.3361,5283.57888,4689.58,3615.002,453.0499,313.0193
Processing of dairy products,902523.4,100995.1121,506.25804,3771.81,2529.519,457.0898,325.272
Processed rice,993273.4,6703.6019,515.79277,2008.611,4927.612,297.6218,242.5684
Sugar refining,1187066.4,7807.37884,839.76425,4377.22,3181.933,462.111,365.0301
Processing of Food products nec,750082,6968.01371,853.61458,3002.024,2233.475,325.3818,238.2668
Manufacture of beverages,909739.3,6568.1958,373.84532,3426.4,2401.017,381.6491,287.1951
Manufacture of fish products,624520.5,11402.57453,202.95817,2652.634,2335.308,318.4489,188.0322
Manufacture of tobacco products (16),278708.7,1239.12726,174.26182,1057.58,785.1877,129.3087,102.18554
Manufacture of textiles (17),933979.1,3624.22015,224.48473,3684.4,2382.504,262.9364,197.4273
Manufacture of wearing apparel; dressing and dyeing of fur (18),494018.1,2082.11526,75.18344,2001.225,1398.781,152.5072,113.6799
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",702927.6,20816.68756,199.52226,2776.172,1897.014,287.278,187.3173
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",714620.7,3643.33674,268.04034,2730.208,2424.915,693.774,633.9836
"Manufacture of pulp, paper and paper products (21)",1056112,4423.68833,123.96306,5435.539,3894.198,1470.9091,1316.8812
"Publishing, printing and reproduction of recorded media (22)",355459.4,1127.36886,29.33885,1306.887,1209.7481,304.90604,277.16675
Manufacture of coke oven products,38803092.3,54346.9492,44.59625,2948.144,2473.178,6532.0234,5840.5998
Manufacture of motor spirit (gasoline),1628528.2,2362.11438,39.33016,1909.574,2308.997,143.21539,109.23459
"Manufacture of kerosene, including kerosene type jet fuel",1817013.6,2389.44606,41.35945,1906.364,2536.963,145.5496,111.7901
Manufacture of gas oils,9505304.5,3616.98877,173.86777,2270.366,11995.532,273.8418,237.10121
Manufacture of fuel oils n.e.c.,1161493.4,2288.13075,33.39909,1950.091,1731.116,136.53566,102.46274
"Manufacture of petroleum gases and other gaseous hydrocarbons, except natural gas",626771715.1,66371.53689,6106.22222,4161181.046,1757727.062,99180.4134,70005.2975
Manufacture of other petroleum products,2662165,2232.01752,43.5498,8659.084,5020.432,381.8977,282.4926
Processing of nuclear fuel,1435075.7,11173.1902,70.1529,4798.15,4282.406,356.6868,268.0352
Manufacture of chemicals and chemical products (24),1109844.9,2652.72767,75.6818,3514.05,2727.5,324.2258,264.7616
Manufacture of rubber and plastic products (25),758266.9,2641.07964,53.37484,3261.069,2123.597,290.8598,234.4135
Manufacture of glass and glass products,1189982.2,5408.06159,48.57199,5642.55,2944.924,490.2918,408.4429
Manufacture of ceramic goods,7881296.7,4745.93104,274.01126,37352.1,12940.318,4921.22183,4485.97239
"Manufacture of bricks, tiles and construction products, in baked clay",3334883.3,6308.25859,121.06853,15485.83,6008.239,1857.3673,1668.49042
"Manufacture of cement, lime and plaster",2697301.1,6346.2046,57.2291,5349.23,2846.074,1063.3532,698.8211
Manufacture of other non-metallic mineral products n.e.c.,989461.9,4507.75939,38.3761,3777.68,2227.351,501.543,412.6145
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,5986325.7,18168.66373,62.76999,8021.5,4846.509,874.7925,713.5497
Precious metals production,1157735.8,4721.24529,42.44477,3714.78,2567.928,320.1295,252.5759
Aluminium production,3253897.9,7470.73808,79.40922,11631.14,6871.197,965.8339,636.1705
"Lead, zinc and tin production",2775170.1,9747.3826,78.7841,9247.14,5898.338,951.9519,672.83
Copper production,1094670.6,5131.69216,43.5203,3826.57,2724.94,393.7325,300.363
Other non-ferrous metal production,1328356.9,5062.36249,45.33178,3979.21,2703.955,344.8055,271.4371
Casting of metals,1223524.3,5143.15623,51.28321,4276.26,3342.434,328.0717,236.5001
"Manufacture of fabricated metal products, except machinery and equipment (28)",1213487,3574.34366,30.91775,2992.3,1970.463,250.611,191.0126
Manufacture of machinery and equipment n.e.c. (29),816406.2,2544.60423,28.763,2210.618,1587.503,189.8771,147.0283
Manufacture of office machinery and computers (30),414069.4,1418.56986,25.16004,1446.915,1182.913,152.50276,123.46272
Manufacture of electrical machinery and apparatus n.e.c. (31),775447.2,2384.2016,33.14079,2360.44,1599.563,214.3879,167.5044
"Manufacture of radio, television and communication equipment and apparatus (32)",457854.6,1649.25797,24.62802,1845.116,1290.444,142.16667,108.18086
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",403784.4,1401.36875,23.44887,1485.497,1113.848,143.39591,114.7364
"Manufacture of motor vehicles, trailers and semi-trailers (34)",800627.5,2606.90675,35.91248,2359.34,1672.147,210.3922,164.5638
Manufacture of other transport equipment (35),553859.3,1836.81145,25.64344,1752.131,1260.507,149.5428,115.2663
Manufacture of furniture; manufacturing n.e.c. (36),666214.9,2524.29838,48.45316,2251.03,1630.132,270.4963,226.144
Recycling of metal waste and scrap,0,0,0,0,0,0,0
Recycling of non-metal waste and scrap,0,0,0,0,0,0,0
Production of electricity by coal,53423975.1,219855.8887,883.12255,455850.775,176435.882,11302.4382,5123.9787
Production of electricity by gas,18358525.11,6608.47291,295.26278,1392.998,28999.8001,503.29877,463.16823
Production of electricity by nuclear,150252.18,674.585902,10.398587,342.505,388.3718,39.61091,31.63355
Production of electricity by hydro,65178.02,367.703007,5.521813,181.045,206.3938,19.52326,15.10227
Production of electricity by wind,119975.49,831.851682,6.438605,442.5135,344.3628,29.04259,22.38621
"Production of electricity nec, including biomass and waste",8447702.7,3376.95358,484.79598,42880.83,30428.7833,3370.01277,2682.29841
Transmission of electricity,97496.76,530.74716,8.164029,302.1446,305.3096,28.43339,21.69133
Distribution and trade of electricity,87397.47,455.653189,8.005576,240.0053,277.4125,26.50409,20.50999
Manufacture of gas; distribution of gaseous fuels through mains,738358.5,1433.37575,30.03282,1171.763,1170.5869,104.3274,80.24956
Steam and hot water supply,0,0,0,0,0,0,0
"Collection, purification and distribution of water (41)",427156.45,884.42768,18.02507,1103.585,901.0078,120.88814,91.667
Construction (45),501050.6,1740.50776,40.07449,1472.253,1276.855,171.3307,134.0951
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",327073.3,1299.11747,20.67803,1425.735,1095.4455,96.04039,70.74146
Retail sale of automotive fuel,342788.1,1378.26764,21.92002,1732.563,1217.2674,98.67742,69.38288
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",234329.26,729.61004,21.53629,765.294,951.5001,82.46616,65.55684
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",385086.9,1315.16827,27.31005,1568.167,1472.6439,107.46395,76.57092
Hotels and restaurants (55),490919,5103.59358,102.06506,2544.776,1527.6663,158.84963,105.31445
Transport via railways,1117570.6,1214.2369,165.18652,1032.907,13206.9,444.3065,406.7778
Other land transport,625485,1237.4009,71.32931,1059.139,3091.573,247.1351,211.8997
Transport via pipelines,2472267.4,2900.50115,100.70485,2127.9,3500.677,289.28134,237.97244
Sea and coastal water transport,1751012.5,5497.16333,85.54396,2390.397,1931.336,169.6596,126.8361
Inland water transport,1668835.4,6577.20914,59.7474,5731.198,30589.901,660.4399,633.9231
Air transport (62),3141914.7,1734.97435,65.28139,1279.804,3691.7142,111.16319,106.75937
Supporting and auxiliary transport activities; activities of travel agencies (63),519178.8,1762.63665,58.14288,1390.188,2551.1723,214.89935,179.34378
Post and telecommunications (64),356753.35,996.11756,41.0709,758.889,1703.5231,144.76477,122.16628
"Financial intermediation, except insurance and pension funding (65)",107016.72,455.668302,9.20878,393.5234,373.4509,32.56028,24.60457
"Insurance and pension funding, except compulsory social security (66)",98499.88,459.515342,17.282232,343.4246,352.741,33.43461,26.09297
Activities auxiliary to financial intermediation (67),217172.329,405.931764,4.212575,91.801,198.36295,44.368519,38.518759
Real estate activities (70),158093.32,1314.33629,9.908065,890.691,513.0228,42.26613,27.74351
Renting of machinery and equipment without operator and of personal and household goods (71),311324.24,903.50649,27.33674,860.058,1271.6326,91.97726,69.82173
Computer and related activities (72),202169.27,817.75831,12.474807,995.974,684.8631,54.4421,37.58374
Research and development (73),301891.92,1817.40649,30.85762,1167.38,953.5028,92.42235,71.60545
Other business activities (74),230129.17,714.61211,19.09579,678.709,881.2738,65.84287,49.74791
Public administration and defence; compulsory social security (75),374431,2297.69314,28.88877,1074.545,1029.4527,95.55769,73.56823
Education (80),436689.89,3194.18729,37.10871,2411.02,1321.8516,109.65773,69.8109
Health and social work (85),252299.17,1762.16001,24.31697,1184.826,793.5109,78.31174,56.08948
Collection and treatment of sewage,605719.5,13535.66133,48.47076,1400.627,2274.3407,203.98549,159.94983
Collection of waste,441777.6,12801.20029,43.93856,905.894,1968.2682,161.16003,128.63704
Incineration of waste,473624.2,12974.02103,44.67298,3123.282,12078.5793,1373.42626,919.46575
Landfill of waste,473235.2,1196338.494,44.66855,1000.838,2026.1147,169.1811,134.49098
"Sanitation, remediation and similar activities",453581.8,12511.71524,44.19028,936.409,1983.3253,163.91082,130.71475
Activities of membership organisation n.e.c. (91),375371.4,1527.86117,36.53868,1126.319,1549.239,120.48238,92.74952
"Recreational, cultural and sporting activities (92)",366761.21,1331.18959,37.11278,1209.18,1495.888,109.21314,81.38768
Other service activities (93),398923.53,1449.17958,29.49966,1426.388,1517.645,118.11578,87.34564
Private households with employed persons (95),112377,76.1833,14.0233,0,647.033,35.9034,29.1911
Extra-territorial organizations and bodies,0,0,0,0,0,0,0
